"Year","ACCESS-ESM1-5","CanESM5","CESM2","CESM2-WACCM","GFDL-ESM4","MIROC-ES2L","MPI-ESM1-2-LR","IPSL-CM6A-LR","NorESM2-LM","UKESM1-0-LL"
2072,1.09070739564564e-07,5.76756435722402e-08,2.24007297875641e-07,2.52511826847471e-07,4.13713324596363e-07,2.08478722430336e-07,2.33898697991211e-07,2.34102851550337e-07,1.77439419824417e-07,1.71761778278548e-07
2073,1.13709281175176e-07,6.58568879898002e-08,2.24621354778109e-07,2.50429142512435e-07,4.17967653030151e-07,2.09229241146384e-07,1.96128704061655e-07,2.27782062904812e-07,1.87396268297462e-07,1.86517639914729e-07
2074,1.09256603328635e-07,7.84903614228194e-08,2.27986980772653e-07,2.4149523499451e-07,3.98372955018034e-07,2.38519516106565e-07,1.88536839473307e-07,2.29376962674903e-07,1.76006733751014e-07,1.85522924131926e-07
2075,1.14336902487927e-07,6.47549602524758e-08,2.28315480450101e-07,2.32048561017103e-07,4.05620059980314e-07,2.33700396264551e-07,2.19256400413787e-07,2.3260228052779e-07,1.72795347796426e-07,1.65498612074808e-07
2076,1.09515558353999e-07,6.44896380575837e-08,2.25814371984414e-07,2.26685265202957e-07,3.92955214607909e-07,2.1578706832127e-07,2.25706640774805e-07,2.4470023682884e-07,1.80738966391881e-07,1.52647524020743e-07
2077,1.19195483083527e-07,7.67895904358622e-08,2.07474531114078e-07,2.19089212669013e-07,3.9542235801943e-07,2.03605351906099e-07,2.08961276217259e-07,2.36659792917641e-07,1.72667047413688e-07,1.43076129973151e-07
2078,1.1025355780804e-07,8.75017187696559e-08,2.04989279380409e-07,2.21429549404579e-07,4.03201729742767e-07,2.26323282674681e-07,2.06559478722683e-07,2.35354140675752e-07,1.8233845408685e-07,1.28441603260282e-07
2079,1.13756090314584e-07,8.55940049505172e-08,2.14114348084685e-07,2.14883313364686e-07,3.92324067585324e-07,2.2176314971591e-07,2.04061845860654e-07,2.3607020906814e-07,1.85672951263458e-07,1.77722816419461e-07
2080,1.12231744013326e-07,5.61912607935047e-08,2.10617387901066e-07,2.13106492039945e-07,4.06532858597657e-07,2.08904543839824e-07,1.93950124500477e-07,2.48201695892184e-07,1.97651584533975e-07,1.48438702008647e-07
2081,1.10125780706303e-07,5.33775918248922e-08,2.13869349179654e-07,2.05066497123195e-07,4.1888678885985e-07,2.45030135443753e-07,1.77091407072427e-07,2.41880349621412e-07,1.85470183491617e-07,1.38739425837954e-07
