YEAR,CAN_ESM2|45 PPMEAN,CESM1_BGC|45 PPMEAN,GFDL_ESM2G|45 PPMEAN,GFDL_ESM2M|45 PPMEAN,HADGEM2_CC|45 PPMEAN,HADGEM2_ES|45 PPMEAN,IPSL_CM5A_LR|45 PPMEAN,IPSL_CM5A_MR|45 PPMEAN,IPSL_CM5B_LR|45 PPMEAN,MIROC_ESM|45 PPMEAN,MPI_ESM_LR|45 PPMEAN,MPI_ESM_MR|45 PPMEAN,NORESM1|45 PPMEAN
2007,590.0995483,432.174469,478.3330688,601.8060303,189.9333344,207.5389862,330.6398315,339.1435547,188.624939,110.0364838,192.2058868,172.6984863,326.6506348
2008,567.3808594,469.5257874,468.7071228,606.0059204,192.6473846,226.1616211,306.7709351,309.9364014,193.2069702,107.8235855,210.217926,172.3750458,333.1435852
2009,564.2376099,458.984436,455.713623,632.5637207,214.6277924,215.1682892,298.9619141,311.1516724,175.7333374,111.360939,199.8191986,176.0319824,315.3070068
2010,588.8218384,446.0647278,460.555603,616.4265747,192.5372772,219.3899231,299.1540222,318.5688171,200.2884674,113.4953232,178.69104,165.776001,329.901886
2011,615.9174805,457.8056946,451.1654968,596.2667847,196.2554779,206.5581665,292.5691833,319.5361633,181.5254822,117.2260361,201.2625122,163.4479218,346.7478027
2012,613.6344604,474.3009033,465.6477661,609.0383911,202.2550812,199.6665802,292.5157166,341.7467346,179.1703949,110.7179184,213.8106995,160.7038269,314.5996399
2013,614.3449707,442.909668,474.2791748,636.9902954,214.8397675,198.7817688,273.5311279,292.1845703,170.0063171,111.2426758,204.2759705,166.9153748,346.8151245
2014,621.3148193,445.8852234,440.2968445,605.829834,211.6262512,189.5535736,299.5891418,325.4751282,176.6791992,103.3476639,199.1811981,159.5961304,290.3545532
2015,620.8065796,444.8006897,463.7788086,603.5870361,209.8428955,206.4673615,295.3407593,298.3893433,212.250946,106.4777603,211.4561157,159.5887299,316.8225403
2016,601.2359009,428.0054321,451.8761292,619.7590332,213.0671234,187.9479675,281.7585144,321.1728516,205.4062958,102.7707825,200.2146759,154.4980011,319.7004089
2017,565.1160889,465.8824463,487.0546265,626.8596802,209.9778748,180.7522888,283.1682129,293.2914734,195.6529388,107.0370255,194.2335205,159.6105957,308.6696472
2018,570.2176514,432.1903381,473.098053,610.7269897,222.800354,184.8752289,293.4859009,352.9030762,194.6412506,109.9065704,192.1362915,158.3193665,337.2271729
2019,579.0214233,451.3649292,471.4829712,608.2383423,215.1753693,193.9495087,290.6208191,314.3082275,197.0783539,112.3390427,189.1764526,164.9608917,314.1201477
2020,571.6762085,443.5852051,460.1682739,601.2947998,200.9180298,186.1201019,296.8440552,279.600708,188.1949005,117.4808197,188.0207214,153.898819,323.4044189
2021,573.8414307,455.2485352,463.1555481,632.9676514,220.8334045,196.5161743,287.2969666,309.1952515,187.859787,117.200798,171.8552094,167.0486145,302.2837219
2022,576.604187,424.9131775,458.4000549,615.8279419,217.8244324,200.2793274,291.039978,282.0041199,206.6755066,115.937355,209.6263885,161.7101898,310.4627075
2023,529.8448486,454.8699341,459.6401672,625.2808228,222.4199829,204.8074188,275.6670227,304.7432861,198.1096344,117.5146942,191.5330505,141.1877289,335.1180725
2024,579.9333496,448.4569702,441.4739075,622.0716553,220.1915741,197.8222198,265.0513916,289.7617188,199.9337616,111.2315063,200.4436188,161.7496948,290.9178772
